RoundID,MatchID,Team Initials,Coach Name,Line-up,Shirt Number,Player Name
337,3082,Ksa,Solari Jorge (Arg),N,7,Fahad Al Ghesheyan
337,3082,Bel,Van Himst Paul (Bel),N,12,Filip De Wilde
337,3082,Ksa,Solari Jorge (Arg),N,11,Fahad Al Mehalel
337,3082,Bel,Van Himst Paul (Bel),N,13,Georges Grun
337,3082,Ksa,Solari Jorge (Arg),N,12,S. Al-Jaber
337,3082,Bel,Van Himst Paul (Bel),N,15,Marc Emmers
337,3082,Ksa,Solari Jorge (Arg),N,14,K. Al-Mowalad
337,3082,Bel,Van Himst Paul (Bel),N,17,Josip Weber
337,3082,Ksa,Solari Jorge (Arg),N,15,Saleh Al Dawood
337,3082,Bel,Van Himst Paul (Bel),N,19,Eric Van Meir
337,3082,Ksa,Solari Jorge (Arg),N,17,Yasser Al Taifi
337,3082,Bel,Van Himst Paul (Bel),N,20,Dany Verlinden
337,3082,Ksa,Solari Jorge (Arg),N,18,Awwad Al Anzi
337,3082,Bel,Van Himst Paul (Bel),N,21,Stephane Van Der Heyden
337,3082,Ksa,Solari Jorge (Arg),N,21,Hussein Al Sadeq
337,3082,Bel,Van Himst Paul (Bel),N,22,Pascal Renier
337,3082,Ksa,Solari Jorge (Arg),N,22,Ibrahim Al Helwa
337,3083,Gre,Panagoulias Alkis (Gre),S,15,Christos Karkamanis
337,3083,Nga,Westerhof Clemens (Ned),S,1,Rufai
337,3083,Gre,Panagoulias Alkis (Gre),S,5,Giannis Kalitzakis
337,3083,Nga,Westerhof Clemens (Ned),S,4,Stephen Keshi
337,3083,Gre,Panagoulias Alkis (Gre),S,6,Giotis Tsalouchidis
337,3083,Nga,Westerhof Clemens (Ned),S,5,Uche Okechukwu
337,3083,Gre,Panagoulias Alkis (Gre),S,8,Nikos Nioplias
337,3083,Nga,Westerhof Clemens (Ned),S,6,Chidi Nwanu
337,3083,Gre,Panagoulias Alkis (Gre),S,9,Nikos Machlas
337,3083,Nga,Westerhof Clemens (Ned),S,7,Finidi
337,3083,Gre,Panagoulias Alkis (Gre),S,10,Tassos Mitropoulos
337,3083,Nga,Westerhof Clemens (Ned),S,9,Yekini
337,3083,Gre,Panagoulias Alkis (Gre),S,13,Vaios Karagiannis
337,3083,Nga,Westerhof Clemens (Ned),S,11,Emmanuel Amuneke
337,3083,Gre,Panagoulias Alkis (Gre),S,17,Minas Hantzidis
337,3083,Nga,Westerhof Clemens (Ned),S,12,Samson Siasia
337,3083,Gre,Panagoulias Alkis (Gre),S,19,Savvas Kofidis
337,3083,Nga,Westerhof Clemens (Ned),S,14,Amokachi
337,3083,Gre,Panagoulias Alkis (Gre),S,21,Alekos Alexandris
337,3083,Nga,Westerhof Clemens (Ned),S,15,Oliseh
337,3083,Gre,Panagoulias Alkis (Gre),S,22,Alexis Alexiou
337,3083,Nga,Westerhof Clemens (Ned),S,19,Michael Emenalo
337,3083,Gre,Panagoulias Alkis (Gre),N,1,Antonis Minou
337,3083,Nga,Westerhof Clemens (Ned),N,2,Eguavoen
337,3083,Gre,Panagoulias Alkis (Gre),N,2,Stratos Apostolakis
337,3083,Nga,Westerhof Clemens (Ned),N,3,Iroha
337,3083,Gre,Panagoulias Alkis (Gre),N,3,Thanasis Kolitsidakis
337,3083,Nga,Westerhof Clemens (Ned),N,8,Thompson Oliha
337,3083,Gre,Panagoulias Alkis (Gre),N,4,Stelios Manolas
337,3083,Nga,Westerhof Clemens (Ned),N,10,Okocha
337,3083,Gre,Panagoulias Alkis (Gre),N,7,Dimitrios Saravakos
337,3083,Nga,Westerhof Clemens (Ned),N,13,Emeka Ezeugo
337,3083,Gre,Panagoulias Alkis (Gre),N,11,Nikos Tsiantakis
337,3083,Nga,Westerhof Clemens (Ned),N,16,Alloy Agu
337,3083,Gre,Panagoulias Alkis (Gre),N,12,Spiros Marangos
337,3083,Nga,Westerhof Clemens (Ned),N,17,Victor Ikpeba
337,3083,Gre,Panagoulias Alkis (Gre),N,14,Vasilis Dimitriadis
337,3083,Nga,Westerhof Clemens (Ned),N,18,Efan Ekoku
337,3083,Gre,Panagoulias Alkis (Gre),N,16,Alexis Alexoudis
